NAME,CNTY_FIPS,FIPS,DI_Basin,Well_Count,Oil_Double,Gas_Double,Prov_Cod_1
Harding,63,46063,WILLISTON,170,997822,4178674,395
McPherson,89,46089,,,,,395
Perkins,105,46105,,,,,395
Corson,31,46031,,,,,395
Brown,13,46013,,,,,395
Beaverhead,1,30001,,,,,610
Marshall,91,46091,,,,,395
Roberts,109,46109,,,,,395
Morrow,49,41049,,,,,605
Union,61,41061,,,,,605
Madison,57,30057,,,,,505
Benton,9,27009,,,,,320
Gilliam,21,41021,,,,,605
Powder River,75,30075,POWDER RIVER,108,2291025,55675468,510
Stearns,145,27145,,,,,320
Tillamook,57,41057,,,,,710
Washington,67,41067,,,,,710
Pope,121,27121,,,,,320
Stevens,149,27149,,,,,320
Isanti,59,27059,,,,,320
Chisago,25,27025,,,,,310
Sherman,55,41055,,,,,605
Polk,95,55095,,,,,310
Multnomah,51,41051,,,,,710
Hood River,27,41027,,,,,710
Wasco,65,41065,,,,,710
Lemhi,59,16059,,,,,610
Washington,29,23029,,,,,100
Franklin,7,23007,,,,,100
Barron,5,55005,,,,,310
Rusk,107,55107,,,,,310
Carbon,9,30009,BIG HORN,56,315813,916401,505
Walworth,129,46129,,,,,395
Edmunds,45,46045,,,,,395
Day,37,46037,,,,,320
Big Stone,11,27011,,,,,320
Sherburne,141,27141,,,,,320
Ziebach,137,46137,,,,,395
Dewey,41,46041,,,,,395
Clackamas,5,41005,,,,,710
Wright,171,27171,,,,,320
Yamhill,71,41071,,,,,710
Anoka,3,27003,,,,,320
Kandiyohi,67,27067,,,,,320
Swift,151,27151,,,,,320
Taylor,119,55119,,,,,310
Oxford,17,23017,,,,,100
Grant,51,46051,,,,,320
Meeker,93,27093,,,,,320
Coos,7,33007,,,,,100
Washington,163,27163,,,,,310
Chippewa,17,55017,,,,,310
Marion,47,41047,,,,,710
Lac Qui Parle,73,27073,,,,,320
Adams,3,16003,,,,,610
Potter,107,46107,,,,,395
Faulk,49,46049,,,,,395
Hennepin,53,27053,,,,,320
Spink,115,46115,,,,,395
St. Croix,109,55109,,,,,310
Dunn,33,55033,,,,,310
Butte,19,46019,,,,,395
Valley,85,16085,,,,,610
Clark,25,46025,,,,,320
Codington,29,46029,,,,,320
Chippewa,23,27023,,,,,320
Ramsey,123,27123,,,,,320
Yellowstone National Park (Part),113,30113,,,,,505
Baker,1,41001,,,,,605
Polk,53,41053,,,,,710
Wheeler,69,41069,,,,,605
Meade,93,46093,,,,,395
Lincoln,41,41041,,,,,710
Clark,19,55019,,,,,310
Essex,9,50009,,,,,100
Grand Isle,13,50013,,,,,100
Franklin,11,50011,,,,,100
Orleans,19,50019,,,,,100
Clinton,19,36019,,,,,100
Park,29,56029,BIG HORN,1292,4646542,6116516,505
Crook,11,56011,POWDER RIVER,374,762168,16663,395
Big Horn,3,56003,BIG HORN,426,1143297,1142114,515
Campbell,5,56005,POWDER RIVER,3270,19864894,83630492,515
Sheridan,33,56033,POWDER RIVER,253,6064,647400,515
Franklin,33,36033,,,,,110
Grant,23,41023,,,,,605
McLeod,85,27085,,,,,320
Carver,19,27019,,,,,320
Deuel,39,46039,,,,,320
Dakota,37,27037,,,,,310
Yellow Medicine,173,27173,,,,,320
Sully,119,46119,,,,,395
Hyde,69,46069,,,,,395
Hand,59,46059,,,,,320
Renville,129,27129,,,,,320
Pierce,93,55093,,,,,310
Custer,37,16037,,,,,610
Eau Claire,35,55035,,,,,310
Washington,87,16087,,,,,615
Jefferson,31,41031,,,,,710
Scott,139,27139,,,,,320
Hamlin,57,46057,,,,,320
Lamoille,15,50015,,,,,100
Linn,43,41043,,,,,710
Stanley,117,46117,,,,,395
Caledonia,5,50005,,,,,100
Waldo,27,23027,,,,,100
Haakon,55,46055,,,,,395
Fremont,43,16043,,,,,505
Sibley,143,27143,,,,,320
Chittenden,7,50007,,,,,100
Kennebec,11,23011,,,,,100
Goodhue,49,27049,,,,,310
Benton,3,41003,,,,,710
Redwood,127,27127,,,,,320
Wood,141,55141,,,,,310
Pepin,91,55091,,,,,310
Teton,39,56039,,,,,505
Beadle,5,46005,,,,,320
Lyon,83,27083,,,,,320
Lincoln,81,27081,,,,,320
Lawrence,81,46081,,,,,395
Buffalo,11,55011,,,,,310
Trempealeau,121,55121,,,,,310
Jackson,53,55053,,,,,310
Clark,33,16033,,,,,610
Crook,13,41013,,,,,605
Johnson,19,56019,POWDER RIVER,3033,1098930,59591775,515
Hughes,65,46065,,,,,395
Essex,31,36031,,,,,100
Le Sueur,79,27079,,,,,320
Rice,131,27131,,,,,320
Kingsbury,77,46077,,,,,320
Brookings,11,46011,,,,,320
Pennington,103,46103,,,,,395
Gem,45,16045,,,,,610
Brown,15,27015,,,,,320
Washington,23,50023,,,,,100
Androscoggin,1,23001,,,,,100
Nicollet,103,27103,,,,,320
Wabasha,157,27157,,,,,310
Malheur,45,41045,,,,,620
Hancock,9,23009,,,,,100
Grafton,9,33009,,,,,100
Deschutes,17,41017,,,,,710
Knox,13,23013,,,,,100
Boise,15,16015,,,,,610
Lincoln,15,23015,,,,,100
Addison,1,50001,,,,,100
Carroll,3,33003,,,,,100
Lane,39,41039,,,,,710
Blue Earth,13,27013,,,,,320
Juneau,57,55057,,,,,310
Butte,23,16023,,,,,610
Lyman,85,46085,,,,,395
Orange,17,50017,,,,,100
Waseca,161,27161,,,,,320
Buffalo,17,46017,,,,,320
Jerauld,73,46073,,,,,320
Moody,101,46101,,,,,320
Pipestone,117,27117,,,,,320
Dodge,39,27039,,,,,325
Sanborn,111,46111,,,,,320
Murray,101,27101,,,,,320
Cottonwood,33,27033,,,,,320
Steele,147,27147,,,,,325
Olmsted,109,27109,,,,,325
Miner,97,46097,,,,,320
Lake,79,46079,,,,,320
Winona,169,27169,,,,,310
Weston,45,56045,POWDER RIVER,814,478891,1121905,395
Jones,75,46075,,,,,395
Cumberland,5,23005,,,,,100
Washakie,43,56043,BIG HORN,255,361435,1168793,515
Monroe,81,55081,,,,,310
Payette,75,16075,,,,,615
Hamilton,41,36041,,,,,110
Watonwan,165,27165,,,,,320
Herkimer,43,36043,,,,,110
La Crosse,63,55063,,,,,310
Elmore,39,16039,,,,,610
Hot Springs,17,56017,BIG HORN,561,1813603,239815,520
Jefferson,51,16051,,,,,507
Harney,25,41025,,,,,605
Sagadahoc,23,23023,,,,,100
Fremont,13,56013,WIND RIVER,991,2021120,78048429,520
Jackson,71,46071,,,,,395
Blaine,13,16013,,,,,610
Teton,81,16081,,,,,507
Windsor,27,50027,,,,,100
Douglas,19,41019,,,,,710
Aurora,3,46003,,,,,320
Brule,15,46015,,,,,320
Madison,65,16065,,,,,507
Canyon,27,16027,,,,,615
Mellette,95,46095,,,,,395
Camas,25,16025,,,,,615
Custer,33,46033,OTHER - SOUTH DAKOTA,4,177,0,395
Rutland,21,50021,,,,,100
Faribault,43,27043,,,,,320
Minnehaha,99,46099,,,,,320
Rock,133,27133,,,,,320
Freeborn,47,27047,,,,,325
Nobles,105,27105,,,,,320
Jackson,63,27063,,,,,320
Martin,91,27091,,,,,320
Houston,55,27055,,,,,310
Mower,99,27099,,,,,325
Fillmore,45,27045,,,,,325
Davison,35,46035,,,,,320
Hanson,61,46061,,,,,320
McCook,87,46087,,,,,320
York,31,23031,,,,,100
Washington,115,36115,,,,,100
Ada,1,16001,,,,,610
Warren,113,36113,,,,,100
Tripp,123,46123,,,,,320
Belknap,1,33001,,,,,100
Vernon,123,55123,,,,,310
Shannon,113,46113,,,,,395
Owyhee,73,16073,,,,,615
Bonneville,19,16019,,,,,507
Bingham,11,16011,,,,,507
Klamath,35,41035,,,,,710
Lake,37,41037,,,,,620
Coos,11,41011,,,,,710
Merrimack,13,33013,,,,,100
Sullivan,19,33019,,,,,100
Strafford,17,33017,,,,,100
Richland,103,55103,,,,,310
Natrona,25,56025,WIND RIVER,1624,4008395,8012549,515
Gregory,53,46053,,,,,320
Niobrara,27,56027,POWDER RIVER,212,731604,1055423,515
Charles Mix,23,46023,,,,,320
Turner,125,46125,,,,,320
Lincoln,83,46083,,,,,320
Worth,195,19195,,,,,325
Mitchell,131,19131,,,,,325
Allamakee,5,19005,,,,,310
Winnebago,189,19189,,,,,325
Winneshiek,191,19191,,,,,325
Converse,9,56009,POWDER RIVER,1711,33450571,97674711,515
Osceola,143,19143,,,,,320
Dickinson,59,19059,,,,,320
Kossuth,109,19109,,,,,325
Howard,89,19089,,,,,325
Emmet,63,19063,,,,,320
Lyon,119,19119,,,,,320
Douglas,43,46043,,,,,320
Hutchinson,67,46067,,,,,320
Fall River,47,46047,POWDER RIVER,7,18251,0,515
Sublette,35,56035,GREEN RIVER - OVERTHRUST,7131,4807241,851388517,507
Crawford,23,55023,,,,,310
Saratoga,91,36091,,,,,100
Bennett,7,46007,,,,,320
Todd,121,46121,,,,,320
Bennington,3,50003,,,,,100
Lincoln,23,56023,GREEN RIVER - OVERTHRUST,1243,194786,29283527,507
Fulton,35,36035,,,,,110
Rockingham,15,33015,,,,,100
Sioux,167,19167,,,,,320
Windham,25,50025,,,,,100
O'Brien,141,19141,,,,,325
Cerro Gordo,33,19033,,,,,325
Clay,41,19041,,,,,325
Hancock,81,19081,,,,,325
Palo Alto,147,19147,,,,,325
Floyd,67,19067,,,,,325
Chickasaw,37,19037,,,,,325
Iowa,49,55049,,,,,310
Grant,43,55043,,,,,310
Hillsborough,11,33011,,,,,100
Lincoln,63,16063,,,,,615
Gooding,47,16047,,,,,615
Minidoka,67,16067,,,,,615
Cheshire,5,33005,,,,,100
Yankton,135,46135,,,,,320
Bon Homme,9,46009,,,,,320
Power,77,16077,,,,,615
Union,127,46127,,,,,320
Clay,27,46027,,,,,320
Fayette,65,19065,,,,,325
Clayton,43,19043,,,,,310
Montgomery,57,36057,,,,,110
Caribou,29,16029,,,,,507
Bannock,5,16005,,,,,507
Sioux,165,31165,OTHER - NEBRASKA,1,343,0,515
Dawes,45,31045,,,,,515
Sheridan,161,31161,,,,,320
Jackson,29,41029,,,,,710
Keya Paha,103,31103,,,,,320
Boyd,15,31015,,,,,320
Cherry,31,31031,,,,,320
Curry,15,41015,,,,,710
Rensselaer,83,36083,,,,,100
Schenectady,93,36093,,,,,160
Plymouth,149,19149,,,,,320
Cherokee,35,19035,,,,,325
Bremer,17,19017,,,,,325
Butler,23,19023,,,,,325
Buena Vista,21,19021,,,,,325
Twin Falls,83,16083,,,,,615
Pocahontas,151,19151,,,,,325
Humboldt,91,19091,,,,,325
Wright,197,19197,,,,,325
Franklin,69,19069,,,,,325
Otsego,77,36077,,,,,110
Holt,89,31089,,,,,380
Essex,9,25009,,,,,100
Knox,107,31107,,,,,320
Cedar,27,31027,,,,,320
Jerome,53,16053,,,,,615
Schoharie,95,36095,,,,,160
Brown,17,31017,,,,,390
Lafayette,65,55065,,,,,310
Albany,1,36001,,,,,100
Rock,149,31149,,,,,380
Josephine,33,41033,,,,,710
Dixon,51,31051,,,,,320
Berkshire,3,25003,,,,,100
Franklin,11,25011,,,,,100
Middlesex,17,25017,,,,,100
Worcester,27,25027,,,,,100
Dubuque,61,19061,,,,,310
Cassia,31,16031,,,,,615
Webster,187,19187,,,,,325
Delaware,55,19055,,,,,325
Buchanan,19,19019,,,,,325
Black Hawk,13,19013,,,,,325
Goshen,15,56015,DENVER-JULESBURG,5,31045,6740,515
Platte,31,56031,,,,,515
Bear Lake,7,16007,,,,,507
Woodbury,193,19193,,,,,320
Ida,93,19093,,,,,325
Sac,161,19161,,,,,325
Calhoun,25,19025,,,,,325
Hamilton,79,19079,,,,,325
Hampshire,15,25015,,,,,100
Hardin,83,19083,,,,,325
Grundy,75,19075,,,,,325
Dakota,43,31043,,,,,320
Delaware,25,36025,,,,,160
Jo Daviess,85,17085,,,,,310
Columbia,21,36021,,,,,100
Oneida,71,16071,,,,,615
Greene,39,36039,,,,,100
Suffolk,25,25025,,,,,100
Carbon,7,56007,GREEN RIVER - OVERTHRUST,1722,1589237,76627175,515
Pierce,139,31139,,,,,380
Box Butte,13,31013,,,,,390
Antelope,3,31003,,,,,380
Albany,1,56001,GREEN RIVER - OVERTHRUST,24,13163,127,515
Franklin,41,16041,,,,,507
Jackson,97,19097,,,,,310
Wayne,179,31179,,,,,380
Hampden,13,25013,,,,,100
Jones,105,19105,,,,,325
Benton,11,19011,,,,,325
Linn,113,19113,,,,,325
Tama,171,19171,,,,,325
Thurston,173,31173,,,,,325
Sweetwater,37,56037,GREEN RIVER - OVERTHRUST,3879,4578302,189946251,507
Plymouth,23,25023,,,,,100
Norfolk,21,25021,,,,,100
Monona,133,19133,,,,,325
Crawford,47,19047,,,,,325
Carroll,27,19027,,,,,325
Greene,73,19073,,,,,325
Boone,15,19015,,,,,325
Marshall,127,19127,,,,,325
Story,169,19169,,,,,325
Ulster,111,36111,,,,,100
Cuming,39,31039,,,,,380
Bristol,5,25005,,,,,100
Stanton,167,31167,,,,,380
Madison,119,31119,,,,,380
Grant,75,31075,,,,,390
Loup,115,31115,,,,,380
Hooker,91,31091,,,,,390
Garfield,71,31071,,,,,380
Thomas,171,31171,,,,,390
Wheeler,183,31183,,,,,380
Blaine,9,31009,,,,,390
Dutchess,27,36027,,,,,100
Barnstable,1,25001,,,,,100
Burt,21,31021,,,,,325
Litchfield,5,9005,,,,,100
Hartford,3,9003,,,,,100
Clinton,45,19045,,,,,310
Tolland,13,9013,,,,,100
Windham,15,9015,,,,,100
Sullivan,105,36105,,,,,160
Providence,7,44007,,,,,100
Cache,5,49005,,,,,507
Siskiyou,93,6093,,,,,620
Garden,69,31069,DENVER-JULESBURG,1,1561,0,390
Box Elder,3,49003,,,,,625
Rich,33,49033,,,,,507
Scotts Bluff,157,31157,DENVER-JULESBURG,4,7353,0,390
Morrill,123,31123,DENVER-JULESBURG,30,29064,0,390
Wayne,127,42127,,,,,160
Del Norte,15,6015,,,,,710
Humboldt,13,32013,,,,,620
Elko,7,32007,,,,,615
Modoc,49,6049,,,,,620
Washoe,31,32031,,,,,620
Cedar,31,19031,,,,,325
Boone,11,31011,,,,,380
Jasper,99,19099,,,,,325
Polk,153,19153,,,,,325
Poweshiek,157,19157,,,,,325
Harrison,85,19085,,,,,325
Guthrie,77,19077,,,,,325
Shelby,165,19165,,,,,325
Audubon,9,19009,,,,,325
Iowa,95,19095,,,,,325
Dallas,49,19049,,,,,325
Johnson,103,19103,,,,,325
Rock Island,161,17161,,,,,310
Scott,163,19163,,,,,310
Bristol,1,44001,,,,,100
Kent,3,44003,,,,,100
Colfax,37,31037,,,,,380
Dodge,53,31053,,,,,380
Platte,141,31141,,,,,380
Arthur,5,31005,,,,,390
Greeley,77,31077,,,,,380
McPherson,117,31117,,,,,390
Logan,113,31113,,,,,390
Custer,41,31041,,,,,390
Valley,175,31175,,,,,380
Will,197,17197,,,,,310
Lucas,95,39095,,,,,305
Kendall,93,17093,,,,,310
Lake,89,18089,,,,,310
Porter,127,18127,,,,,300
Fulton,51,39051,,,,,305
Geauga,55,39055,APPALACHIAN,785,59478,1189835,160
New London,11,9011,,,,,100
Williams,171,39171,,,,,305
Banner,7,31007,DENVER-JULESBURG,88,85520,3176,540
Washington,177,31177,,,,,325
Newport,5,44005,,,,,100
Fairfield,1,9001,,,,,100
Laramie,21,56021,DENVER-JULESBURG,497,10235875,10290406,535
Wyoming,131,42131,APPALACHIAN,303,0,338986760,160A
Washington,9,44009,,,,,100
Middlesex,7,9007,,,,,100
New Haven,9,9009,,,,,100
Lackawanna,69,42069,,,,,160
La Salle,99,17099,,,,,310
Orange,71,36071,,,,,100
Elk,47,42047,APPALACHIAN,1348,23846,84265187,160A
Cuyahoga,35,39035,APPALACHIAN,385,54759,1634947,160
Venango,121,42121,APPALACHIAN,2025,45920,3950786,160
Forest,53,42053,APPALACHIAN,3049,328980,1935118,160A
Ottawa,123,39123,,,,,305
Cameron,23,42023,APPALACHIAN,98,0,33315009,160A
Wood,173,39173,CINCINNATI ARCH,13,244,0,305
Pike,103,42103,,,,,160
Lycoming,81,42081,APPALACHIAN,937,0,439470567,160A
Muscatine,139,19139,,,,,310
Sullivan,113,42113,APPALACHIAN,146,0,159946734,160A
Bureau,11,17011,,,,,310
Henry,73,17073,,,,,310
Uinta,41,56041,GREEN RIVER - OVERTHRUST,476,316472,18482867,507
Noble,113,18113,,,,,305
De Kalb,33,18033,,,,,305
Putnam,79,36079,,,,,100
Nance,125,31125,,,,,380
Lorain,93,39093,APPALACHIAN,48,199,17412,160
Mahaska,123,19123,,,,,325
Pottawattamie,155,19155,,,,,325
Washington,183,19183,,,,,325
Marion,125,19125,,,,,325
Madison,121,19121,,,,,325
Warren,181,19181,,,,,325
Keokuk,107,19107,,,,,325
Cass,29,19029,,,,,325
Adair,1,19001,,,,,325
Sandusky,143,39143,CINCINNATI ARCH,31,4568,24753,300
Trumbull,155,39155,APPALACHIAN,1993,68418,5308059,160
Mercer,85,42085,APPALACHIAN,2744,76382,12268563,160
Marshall,99,18099,,,,,305
Henry,69,39069,,,,,305
Clinton,35,42035,APPALACHIAN,428,0,19796920,160A
Dukes,7,25007,,,,,120
Grundy,63,17063,,,,,310
Humboldt,23,6023,CA COAST,26,0,280637,715
Butler,23,31023,,,,,380
Saunders,155,31155,,,,,380
Erie,43,39043,APPALACHIAN,4,3062,0,160
Kosciusko,85,18085,,,,,305
Starke,149,18149,,,,,305
Clarion,31,42031,APPALACHIAN,2505,54638,8742668,160A
Cheyenne,33,31033,DENVER-JULESBURG,203,108372,296141,540
Defiance,39,39039,,,,,305
Weber,57,49057,,,,,507
Louisa,115,19115,,,,,310
Luzerne,79,42079,,,,,160A
Polk,143,31143,,,,,380
Douglas,55,31055,,,,,380
Sherman,163,31163,,,,,380
Howard,93,31093,,,,,380
Lincoln,111,31111,,,,,390
Merrick,121,31121,,,,,380
Nantucket,19,25019,,,,,120
Keith,101,31101,,,,,390
Kimball,105,31105,DENVER-JULESBURG,144,215626,11999,540
Jefferson,65,42065,APPALACHIAN,4086,1326,14242641,160A
Morgan,29,49029,,,,,507
Trinity,105,6105,,,,,715
Westchester,119,36119,,,,,100
Sussex,37,34037,,,,,160
Summit,153,39153,APPALACHIAN,722,89590,1579568,160
Portage,133,39133,APPALACHIAN,1912,229822,2884901,160
Mercer,131,17131,,,,,310
Rockland,87,36087,,,,,100
Putnam,155,17155,,,,,310
Columbia,37,42037,,,,,160A
Kankakee,91,17091,,,,,310
Whitley,183,18183,,,,,305
Jasper,73,18073,,,,,300
Huron,77,39077,APPALACHIAN,45,32125,41759,160
Allen,3,18003,,,,,305
Medina,103,39103,APPALACHIAN,918,30619,491479,160
Summit,43,49043,GREEN RIVER - OVERTHRUST,19,158769,932932,507
Centre,27,42027,APPALACHIAN,659,0,3680476,160A
Clearfield,33,42033,APPALACHIAN,3742,0,13776472,160A
Monroe,89,42089,,,,,160
Seneca,147,39147,CINCINNATI ARCH,18,1230,0,300
Paulding,125,39125,,,,,305
Stark,175,17175,,,,,315
Newton,111,18111,,,,,310
Deuel,49,31049,DENVER-JULESBURG,29,0,41826,390
Passaic,31,34031,,,,,100
Sarpy,153,31153,,,,,380
Shasta,89,6089,,,,,620
Lassen,35,6035,,,,,620
Northumberland,97,42097,,,,,160A
Fulton,49,18049,,,,,305
Butler,19,42019,APPALACHIAN,878,380786,247683185,160A
Armstrong,5,42005,APPALACHIAN,6963,7429,79507273,160A
Pulaski,131,18131,,,,,300
Montour,93,42093,,,,,160A
Hancock,63,39063,,,,,300
Mills,129,19129,,,,,335
Putnam,137,39137,,,,,305
Montgomery,137,19137,,,,,335
Adams,3,19003,,,,,335
Clarke,39,19039,,,,,325
Wapello,179,19179,,,,,325
Jefferson,101,19101,,,,,325
Union,175,19175,,,,,325
Henry,87,19087,,,,,325
Hamilton,81,31081,,,,,380
Lucas,117,19117,,,,,325
Monroe,135,19135,,,,,325
Davis,11,49011,,,,,507
